drug_id,drug_name,drug_common,indication_id,indication,category,weight_type,step_idx,step_name,route,preparation,concentration,concentration_unit,dose_text,weight_min,weight,min,max,dilution_volume,debit,administration,concentration_note,particularity,reference_snippet
40,Epinephrine,Adrenalin®,536,Cardiac arrest,Uncategorized,1,0,IV,IV push,Administer IV undiluted,0.1,mg/mL,,0,0,0,0,0,0,Nil,,"Avoid 1:10,000 nomenclature as it is associated with more medication errors.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com  - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.           - Giud"
40,Epinephrine,Adrenalin®,536,Cardiac arrest,Uncategorized,1,1,Endotracheal,Endotracheally followed by manual bag ventilation,Administer ET undiluted,0.1,mg/mL,,0,0,0,10,0,0,"Use the IV/IO route if available rather than the endotracheal route. As soon as an IV/IO route is obtained, administer a dose of IV epinephrine even if the last dose of ET epinephrine dates back less than 3 minutes. Repeat every q3-5min in cardiac arrest",,"Avoid 1:10,000 nomenclature as it is associated with more medication errors.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com  - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.           - Giud"
40,Epinephrine,Adrenalin®,2925,Shock,Uncategorized,1,0,Infusion (Pump),,,1,mg/mL,,0,0.5;1;2,0,140,50,0,"Preferred concentration in children under 2 Kg = 10 mcg/mL, between 2 and 4 Kg = 20 mcg/mL or over 4 Kg or in fluid restriction = 40 mcg/mL. Use the lowest concentration if a peripheral venous access is used.  In cardiogenic shock, the reported doses are 0.02-0.1 mcg/Kg/min. In distributive septic shock, the reported doses are 0.05-1 mcg/Kg/min. In practice, the addition of the vasoconstrictor effect (alpha) to the inotropic effect (beta) is not precise and absolute.  Suggested titration: 1) Start infusion at 0.05 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Do NOT remove volume during preparation. Rinse the tubing with the infusion before administration. Epinephrine can also be diluted in NaCl 0.9% or D10W.",,"Y-site compatible with D5W, NaCl, LR.  Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2017. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2925,Shock,Uncategorized,1,0,Infusion (Pump),,,1,mg/mL,,0,0.5;1;2,0,140,50,0,"Preferred concentration in children under 2 Kg = 10 mcg/mL, between 2 and 4 Kg = 20 mcg/mL or over 4 Kg or in fluid restriction = 40 mcg/mL. Use the lowest concentration if a peripheral venous access is used.  In cardiogenic shock, the reported doses are 0.02-0.1 mcg/Kg/min. In distributive septic shock, the reported doses are 0.05-1 mcg/Kg/min. In practice, the addition of the vasoconstrictor effect (alpha) to the inotropic effect (beta) is not precise and absolute.  Suggested titration: 1) Start infusion at 0.05 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Do NOT remove volume during preparation. Rinse the tubing with the infusion before administration. Epinephrine can also be diluted in NaCl 0.9% or D10W.",,"Y-site compatible with D5W, NaCl, LR.  Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2017. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2925,Shock,Uncategorized,1,1,Infusion (Syringe pump),,,1,mg/mL,,0,10;20;40,0,140,50,0,"Preferred concentration in children under 2 Kg = 10 mcg/mL, between 2 and 4 Kg = 20 mcg/mL or over 4 Kg or in fluid restriction = 40 mcg/mL. Use the lowest concentration if a peripheral venous access is used.  In cardiogenic shock, the reported doses are 0.02-0.1 mcg/Kg/min. In distributive septic shock, the reported doses are 0.05-1 mcg/Kg/min. In practice, the addition of the vasoconstrictor effect (alpha) to the inotropic effect (beta) is not precise and absolute.  Suggested titration: 1) Start infusion at 0.05 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Rinse the tubing with the infusion before administration. Epinephrine can also be diluted in NaCl 0.9% or D10W.",,"Y-site compatible with D5W, NaCl, LR.  Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2017. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2925,Shock,Uncategorized,1,1,Infusion (Syringe pump),,,1,mg/mL,,0,10;20;40,0,140,50,0,"Preferred concentration in children under 2 Kg = 10 mcg/mL, between 2 and 4 Kg = 20 mcg/mL or over 4 Kg or in fluid restriction = 40 mcg/mL. Use the lowest concentration if a peripheral venous access is used.  In cardiogenic shock, the reported doses are 0.02-0.1 mcg/Kg/min. In distributive septic shock, the reported doses are 0.05-1 mcg/Kg/min. In practice, the addition of the vasoconstrictor effect (alpha) to the inotropic effect (beta) is not precise and absolute.  Suggested titration: 1) Start infusion at 0.05 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Rinse the tubing with the infusion before administration. Epinephrine can also be diluted in NaCl 0.9% or D10W.",,"Y-site compatible with D5W, NaCl, LR.  Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2017. - Giudice M, Grég"
43,Fentanyl,Sublimaze®,548,Intubation - Induction Agent​,Uncategorized,1,0,Induction agent- Monotherapy,IV over 5 minutes,Administer IV diluted up to 1 mL of NaCl 0.9%,50,mcg/mL,,0,0,0,0,0,0,"Increased risk of chest wall rigidity in neonates linked to the rate of administration and high doses. In the context of intubation, the use of a neuromuscular blocker treats chest wall rigidity.  Consider dose adjustment according to hemodynamic status  Dose: 3-5 mcg/kg (usually 4 mcg/Kg) if used as the ONLY induction agent in rapid sequence intubation",,Nil,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.   - Giudice M, Gr"
43,Fentanyl,Sublimaze®,548,Intubation - Induction Agent​,Uncategorized,1,0,Induction agent- Monotherapy,IV over 5 minutes,Administer IV diluted up to 1 mL of NaCl 0.9%,50,mcg/mL,,0,0,0,0,0,0,"Increased risk of chest wall rigidity in neonates linked to the rate of administration and high doses. In the context of intubation, the use of a neuromuscular blocker treats chest wall rigidity.  Consider dose adjustment according to hemodynamic status  Dose: 3-5 mcg/kg (usually 4 mcg/Kg) if used as the ONLY induction agent in rapid sequence intubation",,Nil,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.   - Giudice M, Gr"
43,Fentanyl,Sublimaze®,548,Intubation - Induction Agent​,Uncategorized,1,0,Induction agent- Monotherapy,IV over 5 minutes,Administer IV diluted up to 1 mL of NaCl 0.9%,50,mcg/mL,,0,0,0,0,0,0,"Increased risk of chest wall rigidity in neonates linked to the rate of administration and high doses. In the context of intubation, the use of a neuromuscular blocker treats chest wall rigidity.  Consider dose adjustment according to hemodynamic status  Dose: 3-5 mcg/kg (usually 4 mcg/Kg) if used as the ONLY induction agent in rapid sequence intubation",,Nil,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.   - Giudice M, Gr"
52,Succinylcholine,Anectine®,550,Intubation- Neuromuscular Blocker,Uncategorized,1,0,,IV push,Administer IV undiluted,20,mg/mL,,0,0,0,150,0,0,"In neonatology, succinylcholine is the neuromuscular blocker usually used for intubations. Contraindications to succinylcholine are only often revealed after birth and intubation. Rocuronium can also be used as an alternative neuromuscular blocking agent.",,Keep refrigerated. Stable at room temperature for 6 months.  With dose of 1.5-2 mg/Kg: Onset of action: 15 seconds Duration of action: 4-6 minutes,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.           - Giudi"
